Month,Average,
12/2023,49451.2,
11/2023,33486.4,
10/2023,42140.4,
9/2023,58963.2,
8/2023,48823.3,
7/2023,47402.0,
6/2023,62610.3,
5/2023,78633.2,
4/2023,87655.9,
3/2023,135102.3,
2/2023,72137.4,
1/2023,63679.8,
12/2022,62138.1,
11/2022,38158.9,
10/2022,59691.1,
9/2022,88624.9,
8/2022,68548.8,
7/2022,54967.1,
6/2022,70241.3,
5/2022,66961.4,
4/2022,58433.7,
3/2022,88605.9,
2/2022,75169.6,
1/2022,53650.1,
12/2021,61768.4,
11/2021,44240.9,
10/2021,66614.6,
9/2021,89845.2,
8/2021,57238.5,
7/2021,52279.3,
6/2021,56889.7,
5/2021,70137.8,
4/2021,45629.2,
3/2021,53350.6,
2/2021,59394.1,
1/2021,44864.9,
12/2020,67000.7,
11/2020,99900.0,
10/2020,50809.4,

