Month,Average,
12/2023,3709.4,
11/2023,4033.8,
10/2023,3750.7,
9/2023,3216.4,
8/2023,3249.2,
7/2023,3654.3,
6/2023,3898.3,
5/2023,4589.0,
4/2023,4028.6,
3/2023,4080.1,
2/2023,4032.3,
1/2023,3762.8,
12/2022,3812.3,
11/2022,3690.4,
10/2022,3164.9,
9/2022,3047.6,
8/2022,3203.7,
7/2022,3306.7,
6/2022,3174.7,
5/2022,3619.0,
4/2022,3525.2,
3/2022,3296.6,
2/2022,3593.9,
1/2022,3743.2,
12/2021,3435.9,
11/2021,3513.6,
10/2021,3464.2,
9/2021,3349.8,
8/2021,3375.6,
7/2021,2873.2,
6/2021,3321.2,
5/2021,3959.1,
4/2021,3944.5,
3/2021,4244.6,
2/2021,4246.3,
1/2021,4362.9,
12/2020,3982.2,
11/2020,4161.5,
10/2020,4430.6,
9/2020,4695.6,
8/2020,5141.5,
7/2020,4335.9,
6/2020,4686.4,
5/2020,5719.0,
4/2020,5636.5,
3/2020,4081.0,
2/2020,3597.8,
1/2020,3613.3,
12/2019,3993.1,
11/2019,3946.7,
10/2019,2691.2,
9/2019,2741.9,
8/2019,3240.9,
7/2019,3230.3,
6/2019,3161.0,
5/2019,3305.1,
4/2019,2909.2,
3/2019,2822.2,
2/2019,2843.7,
1/2019,2866.5,
12/2018,2903.0,
11/2018,2804.9,
10/2018,2701.4,
9/2018,2749.9,
8/2018,2953.7,
7/2018,2896.4,
6/2018,3029.5,
5/2018,2910.4,
4/2018,2923.6,
3/2018,2811.8,
2/2018,3002.1,
1/2018,3074.9,
12/2017,3003.3,
11/2017,2582.5,
10/2017,2505.6,
9/2017,2337.6,
8/2017,2125.5,
7/2017,2100.2,
6/2017,2288.8,
5/2017,2512.3,
4/2017,2552.8,
3/2017,2618.8,
2/2017,2915.8,
1/2017,3247.9,
12/2016,3744.3,
11/2016,2361.9,
10/2016,818.7,
9/2016,889.6,
8/2016,905.2,
7/2016,794.0,
6/2016,899.4,
5/2016,1368.7,
4/2016,957.0,
3/2016,779.9,
2/2016,888.0,
1/2016,1060.9,
12/2015,1092.1,
11/2015,775.3,
10/2015,828.8,
9/2015,817.2,
8/2015,918.8,
7/2015,1002.1,
6/2015,1056.1,
5/2015,1157.6,
4/2015,1203.3,
3/2015,1286.8,
2/2015,1362.8,
1/2015,1627.4,
12/2014,1836.9,
11/2014,1097.5,
10/2014,1024.7,
9/2014,1072.7,
8/2014,1364.2,
7/2014,1325.5,
6/2014,1286.5,
5/2014,1733.6,
4/2014,1107.7,
3/2014,1356.3,
2/2014,1966.9,
1/2014,1567.4,
12/2013,1717.2,
11/2013,1753.1,
10/2013,1014.0,
9/2013,845.4,
8/2013,1149.9,
7/2013,1203.8,
6/2013,1239.5,
5/2013,607.4,
4/2013,543.4,
3/2013,630.1,
2/2013,816.8,
1/2013,863.0,
12/2012,1000.0,
11/2012,379.3,
10/2012,378.0,
9/2012,412.4,
8/2012,489.4,
7/2012,520.3,
