Month,Average,
12/2023,17160.9,
11/2023,20394.8,
10/2023,21236.9,
9/2023,19244.1,
8/2023,21340.8,
7/2023,22851.4,
6/2023,21494.1,
5/2023,21876.1,
4/2023,20535.3,
3/2023,21718.3,
2/2023,23445.7,
1/2023,27140.2,
12/2022,18445.6,
11/2022,19348.2,
10/2022,22479.1,
9/2022,27926.8,
8/2022,28228.8,
7/2022,23620.3,
6/2022,24747.9,
5/2022,26007.0,
4/2022,26698.6,
3/2022,17937.2,
2/2022,23298.2,
1/2022,36614.8,
12/2021,53729.2,
11/2021,25761.4,
10/2021,26731.4,
9/2021,31514.5,
8/2021,40301.6,
7/2021,37666.2,
6/2021,23717.9,
5/2021,21311.1,
4/2021,17901.3,
3/2021,17149.9,
2/2021,18882.7,
1/2021,16917.2,
12/2020,14751.1,
11/2020,12661.0,
10/2020,15069.6,
9/2020,18950.5,
8/2020,20497.8,
7/2020,15767.3,
6/2020,15404.5,
5/2020,18015.8,
4/2020,17084.3,
3/2020,14297.2,
2/2020,13055.7,
1/2020,10660.1,
12/2019,9693.0,
11/2019,11354.7,
10/2019,9693.4,
9/2019,11413.9,
8/2019,16717.1,
7/2019,23105.4,
6/2019,14339.2,
5/2019,10927.7,
4/2019,9762.8,
3/2019,9418.2,
2/2019,9179.3,
1/2019,8077.6,
12/2018,6184.3,
11/2018,5671.7,
10/2018,5796.1,
9/2018,5808.8,
8/2018,5628.7,
7/2018,6825.9,
6/2018,6880.9,
5/2018,6347.3,
4/2018,6616.7,
3/2018,7422.6,
2/2018,7635.9,
1/2018,5963.1,
12/2017,5448.9,
11/2017,5891.4,
10/2017,7069.4,
9/2017,6743.0,
8/2017,8444.6,
7/2017,12137.0,
6/2017,12446.3,
5/2017,6548.2,
4/2017,6071.0,
3/2017,6723.5,
2/2017,7104.8,
1/2017,6566.4,
12/2016,4229.4,
11/2016,4604.4,
10/2016,5417.2,
9/2016,4166.9,
8/2016,4253.5,
7/2016,5008.8,
6/2016,4832.2,
5/2016,3806.6,
4/2016,4388.6,
3/2016,5237.9,
2/2016,5067.4,
1/2016,4938.0,
12/2015,4158.8,
11/2015,4211.8,
10/2015,4174.9,
9/2015,4636.4,
8/2015,6028.8,
7/2015,6889.6,
6/2015,5650.4,
5/2015,4069.6,
4/2015,4124.2,
3/2015,4422.3,
2/2015,4138.2,
1/2015,3798.7,
12/2014,2970.3,
11/2014,3359.2,
10/2014,2537.4,
9/2014,2526.1,
8/2014,3178.4,
7/2014,3344.3,
6/2014,2171.7,
5/2014,1928.3,
4/2014,1860.2,
3/2014,2520.5,
2/2014,3577.8,
