Month,Average,
12/2023,8340.4,
11/2023,7133.6,
10/2023,5776.4,
9/2023,6005.6,
8/2023,7753.7,
7/2023,8492.2,
6/2023,5669.9,
5/2023,5586.9,
4/2023,7078.8,
3/2023,8566.7,
2/2023,8200.0,
1/2023,8717.9,
12/2022,8448.3,
11/2022,8225.7,
10/2022,9750.7,
9/2022,7605.2,
8/2022,6657.9,
7/2022,7514.6,
6/2022,6964.5,
5/2022,6099.7,
4/2022,4605.2,
3/2022,5073.8,
2/2022,5960.5,
1/2022,7013.5,
12/2021,6570.2,
11/2021,6343.5,
10/2021,7224.6,
9/2021,7237.3,
8/2021,8752.1,
7/2021,8993.2,
6/2021,7866.5,
5/2021,5145.6,
4/2021,4159.5,
3/2021,4426.8,
2/2021,6233.9,
1/2021,7376.7,
12/2020,7044.4,
11/2020,6679.1,
10/2020,6434.2,
