Month,Average,
12/2023,758.9,
11/2023,840.6,
10/2023,759.3,
9/2023,764.4,
8/2023,858.9,
7/2023,992.6,
6/2023,953.5,
5/2023,958.9,
4/2023,1060.5,
3/2023,855.0,
2/2023,877.9,
1/2023,850.6,
12/2022,810.5,
11/2022,846.2,
10/2022,771.6,
9/2022,845.5,
8/2022,843.1,
7/2022,872.0,
6/2022,871.5,
5/2022,727.3,
4/2022,727.4,
3/2022,758.8,
2/2022,883.4,
1/2022,1208.1,
12/2021,1154.8,
11/2021,1204.2,
10/2021,1268.2,
9/2021,1355.6,
8/2021,1782.9,
7/2021,1592.9,
6/2021,1626.4,
5/2021,1601.6,
4/2021,1624.3,
3/2021,1770.1,
2/2021,1778.8,
1/2021,1748.0,
12/2020,1624.4,
11/2020,1858.2,
10/2020,1807.0,
