Year,Streaming,Download,CD,Cassette,Vinyl
2023,13381.4,406,537.1,0,1358.6
2022,12860,487.7,509.7,0,1280.6
2021,12850.5,663.2,659,0,1230.4
2020,10709.7,767.2,558.6,0,827.2
2019,9468.1,946.3,759.4,0,622.4
2018,7687.4,1228.4,845.3,0,515.6
2017,5946.4,1685.5,1299,0,490.5
2016,3819.2,2322.4,1437.4,0,457.4
2015,1965.2,2970.5,1860.4,0,436
2014,1356.7,3286,2291.9,0,321
2013,1130.4,3819.7,2804.8,0,279.5
2012,757.6,4003.1,3304.8,0,219.6
2011,489.9,3930.7,4206.9,0,167.9
2010,296.8,3763.6,4742.7,0,127.4
2009,292.9,3778,6141.7,0,94.2
2008,313.3,3801.1,7752.5,1.3,84.3
2007,343.9,3515.8,10974.8,4.4,39.6
2006,311.7,2493.8,14185.8,5.6,38.7
2005,232.8,1442.1,16445.9,20.4,42.8
2004,0,296,18514.6,38.2,63.2
2003,0,0,18704.8,179,71.5
2002,0,0,20432.7,355.3,76.9
2001,0,0,22347.3,625.2,101.1
2000,0,0,23635.1,1115.8,95.5
1999,0,0,23847.1,2029.4,109.2
1998,0,0,21738.9,2830.8,111.6
1997,0,0,19341.1,3144.2,130.8
1996,0,0,19650.8,4067.7,163.7
1995,0,0,18970.5,5078.1,143.6
1994,0,0,17518.5,6684.7,133.6
1993,0,0,13827,6777.8,130.4
1992,0,0,11665.9,7416.8,173.5
1991,0,0,9782.7,7270.7,208.8
1990,0,0,8060.7,8696.4,421.8
1989,0,0,6383.9,8699.7,827.3
1988,0,0,5382.9,8866.5,1835.5
1987,0,0,4274.4,7977,2672.6
1986,0,0,2585.8,6948.9,3367
1985,0,0,1103,6828.9,4421.8
1984,0,0,302.9,6991.1,5418.1
1983,0,0,52.6,5540,5991
1982,0,0,0,4371.6,6972.2
1981,0,0,0,3562.6,8709
1980,0,0,0,2607,9059.7
1979,0,0,0,2436.8,10117.3
1978,0,0,0,2102.1,12775.1
1977,0,0,0,1255,12269.6
1976,0,0,0,780.2,10217.9
1975,0,0,0,559.6,9608.4
1974,0,0,0,538.9,9579.9
https://www.riaa.com/u-s-sales-database/,0,0,0,521.6,9854.8
