Year (Final),Limited Tier Paid Subscription,Other Ad-Supported Streaming,On-Demand Streaming (Ad-Supported),Paid Subscription,Other Digital,Download Music Video,Ringtones & Ringbacks,Download Single,Download Album,SACD,CD Single,CD,Cassette Single,Cassette,Vinyl Single,LP/EP,Streaming,Download,CD,Cassette,Vinyl
2023,1021.4,317.7,1864.5,10149.7,28.1,,10.5,190.8,204.7,,,537.1,0,0,8.4,1350.2,13381.4,406,537.1,0,1358.6
2022,1106.8,272.2,1897.1,9556.9,27,1.4,11.5,223,251.8,0.2,7.1,502.4,0,0,5.8,1274.8,12860,487.7,509.7,0,1280.6
2021,1008.7,228.8,1949.2,9628.8,35,2.2,17.6,302.4,341,0.2,0.1,658.7,0,0,8.9,1221.5,12850.5,663.2,659,0,1230.4
2020,845.2,248.7,1408.8,8184.8,22.2,2.1,23.8,365.4,375.9,0.3,0.4,557.9,0,0,7.4,819.8,10709.7,767.2,558.6,0,827.2
2019,755.8,247.1,1199.7,7239.9,25.6,2.2,24.6,480.3,439.2,0.5,0.1,758.8,0,0,8,614.4,9468.1,946.3,759.4,0,622.4
2018,898.6,252.6,913.3,5598.8,24.1,2.7,30.3,594.4,601,1,0,844.3,0,0,6.9,508.7,7687.4,1228.4,845.3,0,515.6
2017,707,278.4,763.6,4176.4,21,3.5,44.1,830.2,807.7,1.1,0.2,1297.7,0,0,7.6,482.9,5946.4,1685.5,1299,0,490.5
2016,326.6,89.7,605.3,2775.8,21.8,5.4,71.5,1142.8,1102.7,1.5,0.3,1435.6,0,0,6.2,451.2,3819.2,2322.4,1437.4,0,457.4
2015,0,0,478.2,1487,0,8.2,70.2,1523.7,1368.4,1.3,1.5,1857.6,0,0,7.4,428.6,1965.2,2970.5,1860.4,0,436
2014,0,0,365.3,991.4,0,17.5,85.3,1744.4,1438.8,1,4.7,2286.2,0,0,7.1,313.9,1356.7,3286,2291.9,0,321
2013,0,0,288.9,841.5,0,21.9,128.2,2058,1611.6,1.3,3.2,2800.3,0,0,3.9,275.6,1130.4,3819.7,2804.8,0,279.5
2012,0,0,226.9,530.7,0,27.7,193.8,2182.6,1599,1.8,4.3,3298.7,0,0,6.3,213.3,757.6,4003.1,3304.8,0,219.6
2011,0,0,154.2,335.7,0,43.9,374.1,2062.2,1450.5,2,4.7,4200.2,0,0,6.2,161.7,489.9,3930.7,4206.9,0,167.9
2010,0,0,0,296.8,0,51.1,626,1867.4,1219.1,2.4,4.1,4736.2,0,0,3.2,124.2,296.8,3763.6,4742.7,0,127.4
2009,0,0,0,292.9,0,58.1,998.2,1664.6,1057.1,3.4,4.4,6133.9,0,0,3.6,90.6,292.9,3778,6141.7,0,94.2
2008,0,0,0,313.3,0,58.4,1382.8,1460.8,899.1,4.4,5,7743.1,0,1.3,4.1,80.2,313.3,3801.1,7752.5,1.3,84.3
2007,0,0,0,343.9,0,41.4,1551.6,1191.8,731,5.3,17.9,10951.6,0,4.4,5.9,33.7,343.9,3515.8,10974.8,4.4,39.6
2006,0,0,0,311.7,0,29.8,1169.5,877.5,417,8.3,11.6,14165.9,0,5.6,15,23.7,311.7,2493.8,14185.8,5.6,38.7
2005,0,0,0,232.8,0,5.8,657.8,566.8,211.7,15.6,17,16413.3,0,20.4,20.6,22.2,232.8,1442.1,16445.9,20.4,42.8
2004,0,0,0,0,0,0,0,222.6,73.4,26.8,24.2,18463.6,0,38.2,32.1,31.1,0,296,18514.6,38.2,63.2
2003,0,0,0,0,0,0,0,0,0,43.6,59.6,18601.6,0,179,35.6,35.9,0,0,18704.8,179,71.5
2002,0,0,0,0,0,0,0,0,0,0,33.2,20399.5,0,355.3,42.2,34.7,0,0,20432.7,355.3,76.9
2001,0,0,0,0,0,0,0,0,0,0,136.6,22210.7,0,625.2,54,47.1,0,0,22347.3,625.2,101.1
2000,0,0,0,0,0,0,0,0,0,0,252.5,23382.6,8.1,1107.7,46.5,49,0,0,23635.1,1115.8,95.5
1999,0,0,0,0,0,0,0,0,0,0,406.8,23440.3,87.8,1941.6,51,58.2,0,0,23847.1,2029.4,109.2
