Year,LP/EP,Vinyl Single,Cassette,Cassette Single,CD,CD Single,SACD,Download Album,Download Single,Ringtones
2023,43.21754598,0.394688235,0,0,37,,,20.48358947,142.0106182,4.081172406
2022,40.54498472,0.320800333,0,0,37.70147909,0.396157333,0.009733,24.4622408,172.4617473,4.424218889
2021,36.74416347,0.478721471,0,0,44.94628763,0.01692,0.010251,31.08301572,219.3998145,6.2908
2020,25.58156295,0.383001333,0,0,30.99088499,0.034233333,0.011387,33.07058633,255.158662,8.128392297
2019,19.805785,0.332678333,0,0,47.9604086,0.009050667,0.017654,37.46201382,325.3096569,8.290340489
2018,16.67012733,0.367995333,0,0,51.78196071,0.002076,0.032804,49.29769821,399.3138896,10.02628673
2017,15.55608917,0.402959365,0,0,86.69537239,0.015918667,0.032749,64.52343732,544.8291206,14.26286994
2016,14.77088603,0.404330651,0,0,97.5770712,0.121745255,0.045272,85.12334989,743.0034138,22.62078539
2015,13.68102972,0.50786991,0,0,117.1440518,0.386721563,0.041633,106.7838841,986.2550359,21.92486605
2014,10.31556391,0.481198278,0,0,138.7023634,0.928725116,0.030486,114.2304708,1154.379327,26.63232368
2013,9.35128587,0.315817054,0,0,173.7933029,0.628895398,0.044683,117.979213,1332.795366,39.36623578
2012,6.915365189,0.388573687,0,0,198.1643872,1.072870407,0.065446,116.7336318,1402.739373,58.75740356
2011,5.5,0.4,0,0,240.8,1.3,0.1,103.9,1332.3,115.4
2010,4.2,0.3,0,0,253,1,0.1,85.8,1177.4,188.5
2009,3.5,0.3,0,0,296.6,0.9,0.1,74.5,1124.4,294.3
2008,2.9,0.4,0.1,0,368.4,0.7,0.1,63.6,1042.7,405.1
2007,1.3,0.6,0.4,0,499.7,2.6,0.2,49.8,819.4,433.8
2006,0.9,1.5,0.7,0,619.7,1.7,0.3,27.6,586.4,315
2005,1,2.3,2.5,0,705.4,2.8,0.5,13.6,366.9,170
2004,1.4,3.5,5.2,0,767,3.1,0.8,4.6,139.4,0
2003,1.5,3.8,17.2,0,746,8.3,1.3,0,0,0
2002,1.743,4.4,31.1,-0.5,803.3,4.5,0,0,0,0
2001,2.3,5.5,45,-1.5,881.9,17.3,0,0,0,0
2000,2.2,4.8,76,1.3,942.5,34.2,0,0,0,0
1999,2.9,5.3,123.6,14.2,938.9,55.9,0,0,0,0
1998,3.4,5.4,158.5,26.4,847,56,0,0,0,0
1997,2.7,7.5,172.6,42.2,753.1,66.7,0,0,0,0
1996,2.9,10.1,225.3,59.9,778.9,43.2,0,0,0,0
1995,2.2,10.2,272.6,70.7,722.9,21.5,0,0,0,0
1994,1.9,11.7,345.4,81.1,662.1,9.3,0,0,0,0
1993,1.2,15.1,339.5,85.6,495.4,7.8,0,0,0,0
1992,2.3,19.8,366.4,84.6,407.5,7.3,0,0,0,0
1991,4.8,22,360.1,69,333.3,5.7,0,0,0,0
1990,11.7,27.6,442.2,87.4,286.5,1.1,0,0,0,0
1989,34.6,36.6,446.2,76.2,207.2,-0.1,0,0,0,0
1988,72.4,65.6,450.1,22.5,149.7,1.6,0,0,0,0
1987,107,82,410,5.1,102.1,0,0,0,0,0
1986,125.2,93.9,344.5,0,53,0,0,0,0,0
1985,167,120.7,339.1,0,22.6,0,0,0,0,0
1984,204.6,131.5,332,0,5.8,0,0,0,0,0
1983,209.6,124.8,236.8,0,0.8,0,0,0,0,0
1982,243.9,137.2,183.2,0,0,0,0,0,0,0
1981,295.2,154.7,124,0,0,0,0,0,0,0
1980,308,157,99,0,0,0,0,0,0,0
1979,290,212,78.5,0,0,0,0,0,0,0
1978,341.3,190,61.3,0,0,0,0,0,0,0
1977,344,190,36.9,0,0,0,0,0,0,0
1976,273,190,21.8,0,0,0,0,0,0,0
1975,257,164,16.2,0,0,0,0,0,0,0
1974,276,204,15.3,0,0,0,0,0,0,0
1973,280,228,15,0,0,0,0,0,0,0
