Year,Vinyl Total Volume m^3,Cassette Total Volume m^3,CD Total Volume m^3,"Download Volume in 3.5"" 30tb HDD m^3"
2023,4902.968876,0,502.1521697,0.104961403
2022,4597.866389,0,514.1940775,0.1263365215
2021,4174.081997,0,610.237827,0.1604729049
2020,2907.940411,0,420.9594135,0.1789767388
2019,2252.779969,0,651.1975176,0.2159844067
2018,1899.505305,0,703.2259418,0.27372913
2017,1774.85638,0,1177.142352,0.3662482998
2016,1686.104948,0,1325.633579,0.4922657897
2015,1566.83,0,1592.739295,0.6377442084
2014,1185.179102,0,1888.439811,0.7190972715
2013,1069.757441,0,2363.06697,0.795026797
2012,797.0618509,0,2696.783317,0.8179970737
2011,637.4278746,0,3277.259191,0.7596142872
2010,486.5531891,0,3441.024133,0.656567074
2009,407.3852126,0,4032.146206,0.608712331
2008,343.3753903,8.09625,5005.386478,0.5512866394
2007,170.116902,32.385,6800.165794,0.4335639716
2006,159.514048,56.67375,8424.695922,0.2899997426
2005,201.6113053,202.40625,9597.1383,0.1719580432
2004,293.0314687,421.005,10439.03487,0.063806324
2003,315.8865095,1392.555,10192.18108,0
2002,366.4597669,2477.4525,10929.27412,0
2001,471.7877332,3521.86875,12073.21597,0
2000,433.5389191,6258.40125,12997.59819,0
1999,531.9491122,11156.6325,13079.63146,0
1998,592.3461101,14969.96625,11832.99723,0
1997,593.995443,17390.745,10623.15733,0
1996,716.6743907,23090.505,10831.55802,0
1995,641.3548575,27794.42625,9940.652607,0
1994,665.1523743,34530.50625,9041.905781,0
1993,716.8314701,34417.15875,6770.458894,0
1992,1022.115126,36514.0875,5574.49227,0
1991,1389.523652,34741.00875,4557.822622,0
1990,2385.406531,42877.74,3894.921439,0
1989,5321.690232,42294.81,2811.448965,0
1988,10712.80952,38262.8775,2041.331508,0
1987,15257.11421,33607.53375,1385.668555,0
1986,17773.44635,27891.58125,719.299054,0
1985,23532.28833,27454.38375,306.719974,0
1984,28200.37151,26879.55,78.71574553,0
1983,28508.01136,19171.92,10.85734421,0
1982,32864.44918,14832.33,0,0
1981,39339.80847,10039.35,0,0
1980,40875.96566,8015.2875,0,0
1979,40956.86151,6355.55625,0,0
1978,45912.08569,4963.00125,0,0
1977,46217.44789,2987.51625,0,0
1976,38187.55313,1764.9825,0,0
1975,35377.40412,1311.5925,0,0
1974,39065.62652,1238.72625,0,0
1973,40441.64135,1214.4375,0,0
