Month,Average,
12/2023,3112.4,
11/2023,2834.7,
10/2023,2505.8,
9/2023,2739.8,
8/2023,3913.1,
7/2023,3222.6,
6/2023,3129.3,
5/2023,3202.2,
4/2023,3271.7,
3/2023,3224.0,
2/2023,3775.3,
1/2023,3875.5,
12/2022,3623.5,
11/2022,3448.8,
10/2022,3526.2,
9/2022,3664.1,
8/2022,4315.2,
7/2022,4137.3,
6/2022,3744.6,
5/2022,3866.8,
4/2022,3610.8,
3/2022,3366.2,
2/2022,4135.7,
1/2022,4785.6,
12/2021,5282.6,
11/2021,4590.7,
10/2021,4000.5,
9/2021,4798.2,
8/2021,5399.9,
7/2021,4901.8,
6/2021,5401.9,
5/2021,6359.0,
4/2021,6425.4,
3/2021,6315.5,
2/2021,6609.2,
1/2021,5998.2,
12/2020,5611.5,
11/2020,7133.7,
10/2020,8583.0,
