Month,Average,
12/2023,4518.0,
11/2023,3941.1,
10/2023,3965.5,
9/2023,3601.6,
8/2023,3488.3,
7/2023,4185.1,
6/2023,4973.7,
5/2023,6938.6,
4/2023,5767.9,
3/2023,4264.1,
2/2023,4431.6,
1/2023,4909.7,
12/2022,4194.9,
11/2022,3808.9,
10/2022,3467.1,
9/2022,3531.1,
8/2022,4672.9,
7/2022,5701.3,
6/2022,5964.1,
5/2022,5289.1,
4/2022,5289.5,
3/2022,6308.6,
2/2022,8088.9,
1/2022,6267.9,
12/2021,5867.1,
11/2021,5724.9,
10/2021,5771.9,
9/2021,6465.3,
8/2021,7363.6,
7/2021,6281.1,
6/2021,5070.4,
5/2021,5872.1,
4/2021,4940.0,
3/2021,5468.1,
2/2021,6727.9,
1/2021,7806.6,
12/2020,6066.3,
11/2020,6375.0,
10/2020,6210.1,
9/2020,7541.3,
8/2020,10521.4,
7/2020,18449.7,
