Month,Average,
12/2023,1015.1,
11/2023,955.7,
10/2023,987.1,
9/2023,927.8,
8/2023,1162.3,
7/2023,1253.8,
6/2023,1179.5,
5/2023,1153.8,
4/2023,1321.5,
3/2023,1252.0,
2/2023,1419.7,
1/2023,1497.4,
12/2022,1444.3,
11/2022,1327.3,
10/2022,1258.2,
9/2022,1277.1,
8/2022,1674.0,
7/2022,2112.6,
6/2022,1511.8,
5/2022,1383.7,
4/2022,1466.9,
3/2022,1505.0,
2/2022,1588.7,
1/2022,1588.6,
12/2021,1560.7,
11/2021,1489.3,
10/2021,1436.6,
9/2021,1493.6,
8/2021,1906.6,
7/2021,1954.9,
6/2021,2011.8,
5/2021,1686.5,
4/2021,1717.0,
3/2021,1796.0,
2/2021,1846.0,
1/2021,1787.3,
12/2020,1702.0,
11/2020,1664.9,
10/2020,1628.0,
9/2020,2036.9,
8/2020,2250.8,
7/2020,2216.1,
6/2020,2672.8,
5/2020,3826.9,
4/2020,3735.1,
3/2020,2809.9,
2/2020,2028.2,
1/2020,1876.4,
12/2019,1920.7,
11/2019,1928.1,
10/2019,1739.6,
9/2019,2113.3,
8/2019,2096.3,
7/2019,2319.1,
6/2019,2562.7,
5/2019,2542.4,
4/2019,2664.2,
3/2019,2537.2,
2/2019,2468.2,
1/2019,3128.7,
12/2018,2646.8,
11/2018,2144.8,
10/2018,2688.7,
9/2018,2969.4,
8/2018,3829.1,
7/2018,4317.3,
6/2018,3373.9,
5/2018,3375.2,
4/2018,4216.1,
3/2018,3765.3,
2/2018,3903.5,
1/2018,3406.7,
12/2017,3654.6,
11/2017,3575.2,
10/2017,3602.7,
9/2017,4480.7,
8/2017,5837.8,
7/2017,6090.3,
6/2017,4045.0,
5/2017,3916.9,
4/2017,4325.9,
3/2017,4386.5,
2/2017,4693.1,
1/2017,4779.9,
12/2016,4958.4,
11/2016,4459.4,
10/2016,4439.1,
9/2016,4667.0,
8/2016,5759.9,
7/2016,8176.4,
6/2016,6087.9,
5/2016,5811.5,
4/2016,5477.6,
3/2016,5692.9,
2/2016,6626.5,
1/2016,7096.1,
12/2015,7630.4,
11/2015,8036.7,
10/2015,10110.5,
9/2015,11776.0,
8/2015,23310.3,
7/2015,26293.2,
6/2015,1.3,
