Month,Average,
12/2023,470.9,
11/2023,410.2,
10/2023,449.3,
9/2023,471.3,
8/2023,384.9,
7/2023,431.0,
6/2023,430.4,
5/2023,460.3,
4/2023,387.3,
3/2023,368.7,
2/2023,426.0,
1/2023,482.6,
12/2022,526.2,
11/2022,396.4,
10/2022,361.4,
9/2022,398.4,
8/2022,380.0,
7/2022,403.4,
6/2022,395.5,
5/2022,366.3,
4/2022,339.3,
3/2022,295.4,
2/2022,313.8,
1/2022,395.9,
12/2021,393.3,
11/2021,275.1,
10/2021,284.1,
9/2021,335.3,
8/2021,339.0,
7/2021,351.9,
6/2021,334.0,
5/2021,336.8,
4/2021,316.4,
3/2021,312.6,
2/2021,320.6,
1/2021,335.2,
12/2020,344.8,
11/2020,274.0,
10/2020,271.6,
9/2020,300.9,
8/2020,335.6,
7/2020,349.9,
6/2020,323.7,
5/2020,404.1,
4/2020,419.9,
3/2020,276.6,
2/2020,190.6,
1/2020,200.0,
12/2019,169.0,
11/2019,132.1,
10/2019,115.0,
9/2019,117.6,
8/2019,142.6,
7/2019,169.9,
6/2019,136.8,
5/2019,119.9,
4/2019,123.2,
3/2019,123.6,
2/2019,116.9,
1/2019,126.3,
12/2018,126.4,
11/2018,158.6,
10/2018,223.1,
9/2018,315.3,
